"","province","gender","age","edu","Number","Proportion"
"251","PE","Male","45 to 59","Graduated college",14,0.0206489675516224
"252","PE","Male","45 to 59","Graduated high school",23,0.0339233038348083
"253","PE","Male","60 plus","Didn't graduate college",27,0.0398230088495575
"254","PE","Male","60 plus","Didn't graduate high school",29,0.0427728613569322
"255","PE","Male","60 plus","Graduated college",27,0.0398230088495575
"256","PE","Male","60 plus","Graduated high school",25,0.0368731563421829
"257","QC","Female","18 to 29","Didn't graduate college",94,0.0254949823704909
"258","QC","Female","18 to 29","Didn't graduate high school",13,0.00352590181719555
"259","QC","Female","18 to 29","Graduated college",53,0.0143748304854896
"260","QC","Female","18 to 29","Graduated high school",53,0.0143748304854896
"261","QC","Female","30 to 44","Didn't graduate college",202,0.0547870897748847
"262","QC","Female","30 to 44","Didn't graduate high school",24,0.0065093572009764
"263","QC","Female","30 to 44","Graduated college",220,0.059669107675617
"264","QC","Female","30 to 44","Graduated high school",34,0.00922158936804991
"265","QC","Female","45 to 59","Didn't graduate college",189,0.0512611879576892
"266","QC","Female","45 to 59","Didn't graduate high school",54,0.0146460537021969
"267","QC","Female","45 to 59","Graduated college",114,0.0309194467046379
"268","QC","Female","45 to 59","Graduated high school",107,0.0290208841876865
"269","QC","Female","60 plus","Didn't graduate college",242,0.0656360184431787
"270","QC","Female","60 plus","Didn't graduate high school",271,0.0735014917276919
"271","QC","Female","60 plus","Graduated college",118,0.0320043395714673
"272","QC","Female","60 plus","Graduated high school",216,0.0585842148087876
"273","QC","Male","18 to 29","Didn't graduate college",77,0.020884187686466
"274","QC","Male","18 to 29","Didn't graduate high school",39,0.0105777054515867
"275","QC","Male","18 to 29","Graduated college",33,0.00895036615134255
"276","QC","Male","18 to 29","Graduated high school",51,0.0138323840520749
"277","QC","Male","30 to 44","Didn't graduate college",209,0.0566856522918362
"278","QC","Male","30 to 44","Didn't graduate high school",24,0.0065093572009764
"279","QC","Male","30 to 44","Graduated college",160,0.043395714673176
"280","QC","Male","30 to 44","Graduated high school",67,0.0181719555193925
"281","QC","Male","45 to 59","Didn't graduate college",154,0.0417683753729319
"282","QC","Male","45 to 59","Didn't graduate high school",65,0.0176295090859778
"283","QC","Male","45 to 59","Graduated college",107,0.0290208841876865
"284","QC","Male","45 to 59","Graduated high school",95,0.0257662055871983
"285","QC","Male","60 plus","Didn't graduate college",143,0.0387849199891511
"286","QC","Male","60 plus","Didn't graduate high school",170,0.0461079468402495
"287","QC","Male","60 plus","Graduated college",149,0.0404122592893952
"288","QC","Male","60 plus","Graduated high school",140,0.037971250339029
"289","SK","Female","18 to 29","Didn't graduate college",25,0.0227066303360581
"290","SK","Female","18 to 29","Didn't graduate high school",9,0.00817438692098093
"291","SK","Female","18 to 29","Graduated college",20,0.0181653042688465
"292","SK","Female","18 to 29","Graduated high school",24,0.0217983651226158
"293","SK","Female","30 to 44","Didn't graduate college",58,0.0526793823796549
"294","SK","Female","30 to 44","Didn't graduate high school",3,0.00272479564032698
"295","SK","Female","30 to 44","Graduated college",50,0.0454132606721163
"296","SK","Female","30 to 44","Graduated high school",23,0.0208900999091735
"297","SK","Female","45 to 59","Didn't graduate college",56,0.0508628519527702
"298","SK","Female","45 to 59","Didn't graduate high school",11,0.00999091734786558
